"ts","max ( Coolant_Temp )","mean ( Fuel_Level )","max ( IAT )","max ( MAF )","mean ( Throttle )","mean ( RPM )"
"17-Jun-2022 11:26","91","51.37","56","72","10.2","1669"
"17-Jun-2022 11:27","91","51.37","56","72","10.2","1669"
"17-Jun-2022 11:28","89","50.59","57","53.76","8.63","1686"
"17-Jun-2022 14:00","90","50.98","52","0","0","0"
"17-Jun-2022 14:01","89","50","52","34.9","5.1","867"
"17-Jun-2022 14:02","90","50.59","54","34.92","5.1","875.5"
"17-Jun-2022 14:03","86","49.79999999999999","55","35.04","5.1","868.3333333333334"
"17-Jun-2022 14:04","86","49.41","56","35.02","5.1","872.5"
"17-Jun-2022 14:05","85","49.41","57","34.72","5.1","871.25"
"17-Jun-2022 14:06","85","49.41","57","72.16","5.685","1022"
"17-Jun-2022 14:07","87","49.605","59","95.2","10.195","1638.5"
"17-Jun-2022 14:08","88","49.8","58","74.44","10.98","1448"
"17-Jun-2022 14:09","88","49.8","58","70.68","9.61","1581.5"
"17-Jun-2022 14:10","86","49.41","59","90.64","10.066666666666666","1579"
"17-Jun-2022 14:11","85","49.41","58","62.4","9.41","1513"
"17-Jun-2022 14:12","86","49.41","58","80.36","6.27","1420"
"17-Jun-2022 14:13","87","49.41","59","72.94","9.936666666666666","1788.8333333333333"